d_pres_fav,r_pres_fav,vt_pres_2,vt_pres_4,vt_sen,vt_gov,likely,scale,partyid,sample,phoneuse,gender,educ,hisp,cuban,race,age,racer,turnout_score,turnout_class,region,rvweight,likelyyn,lvweight,file_race,file_party,file_county,file_age,state,poll,poll_id,file_vt16,file_vt14,file_vt12
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican",[DO NOT READ] Someone else (specify),,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,No,,Caucasian/White,74,Caucasian/White,0.985804,High,West,1.11365818977356,,1.10575344394255,White,Republican,Allegheny,74,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Very likely,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,No,,Caucasian/White,54,Caucasian/White,0.94808,High,Philadelphia Suburbs,1.20790565013885,,1.17654841946125,Unknown,Republican,Chester,54,Pennsylvania,October,Pennsylvania October,1,0,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Democrat,Cell,Cell Phone only,Female,Some college or trade school,No,,Caucasian/White,68,Caucasian/White,0.815229,Middle,West,1.1345100402832,,1.02969776295662,White,Democratic,Allegheny,68,Pennsylvania,October,Pennsylvania October,1,0,0
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Cell,Cell Phone only,Female,Bachelors' degree,No,,Caucasian/White,26,Caucasian/White,0.888404,High,Philadelphia Suburbs,1.11007332801819,,1.04813345646143,White,Democratic,Delaware,26,Pennsylvania,October,Pennsylvania October,1,0,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Independent (No party),Cell,Cell Phone only,Female,Graduate or Professional degree,No,,Caucasian/White,58,Caucasian/White,0.87606,High,Southeast,1.0622478723526,,0.996420371702909,Unknown,Other,Carbon,58,Pennsylvania,October,Pennsylvania October,1,0,0
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,No,,Caucasian/White,61,Caucasian/White,0.961654,High,Southeast,1.04644155502319,,1.02637813108873,White,Democratic,Dauphin,61,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat",[DO NOT READ] Won't vote,,Very likely,Ten (definitely will vote),Democrat,Landline,Landline only,Female,Some college or trade school,No,,Caucasian/White,48,Caucasian/White,0.737651,Middle,West,1.0391628742218,,0.902851203777194,White,Democratic,Erie,48,Pennsylvania,October,Pennsylvania October,1,0,0
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Landline,Landline only,Female,Bachelors' degree,No,,Caucasian/White,62,Caucasian/White,0.98044,High,Central,0.920438945293427,,0.911437052408457,White,Democratic,Centre,62,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline only,Female,Bachelors' degree,No,,Caucasian/White,63,Caucasian/White,0.940104,High,Philadelphia Suburbs,1.16510462760925,,1.13021207422161,White,Republican,Bucks,63,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat",[DO NOT READ] Don't know/No opinion,,Somewhat likely,Eight,Independent (No party),Landline,Landline only,Female,Some college or trade school,No,,Caucasian/White,63,Caucasian/White,0.238864,Low,Central,0.816478073596954,,0.0975136092858314,White,Democratic,Cambria,63,Pennsylvania,October,Pennsylvania October,0,0,0
